[info][/Users/luhaoyu/GoRedis/server/server.go:36]2024/01/05 21:19:32 [Server Listen at  127.0.0.1 : 6379]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56598  connected]
[info][/Users/luhaoyu/GoRedis/server/handler.go:27]2024/01/05 21:19:44 [Close connection:  127.0.0.1:56598]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56599  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56600  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56601  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56602  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56603  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56604  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56605  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56606  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56607  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56608  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56609  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56610  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56611  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56612  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56613  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56614  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56615  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56616  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56617  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56618  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56619  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56620  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56621  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56622  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56623  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56624  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56625  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56626  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56627  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56628  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56629  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56630  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56631  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56632  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56633  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56634  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56635  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56636  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56637  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56638  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56639  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56640  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56641  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56642  connected]
[info][/Users/luhaoyu/GoRedis/server/server.go:64]2024/01/05 21:19:44 [127.0.0.1:56643  connected]
